Product Name,Model,Price,Quantity,Status,Image,Description
Children's Bangle 1,مفتول للأطفال 1,12.0000,1,,,
Children's Bangle 2,مفتول للأطفال 2,12.0000,1,,,
Children's Bangle 3,مفتول للأطفال 3,12.0000,1,,,
Children's Bangle 4,مفتول للأطفال 4,12.0000,1,,,
Children's Bangle 5,مفتول للأطفال 5,13.0000,1,,,
Children's Bangle 6,مفتول للأطفال 6,15.0000,1,,,
Children's Bangle 7,مفتول للأطفال 7,15.0000,1,,,
Children's Bangle 8,مفتول للأطفال 8,12.0000,1,,,
Choker 1,قلادة 1,35.0000,1,,,
Choker 2,قلادة 2,38.0000,1,,,
Choker 3,قلادة 3,38.0000,1,,,
Choker 4,قلادة 4,37.0000,1,,,
Choker 5,قلادة 5,35.0000,1,,,
Cleopatra,كليوبترا  ,81.7500,1,,,
Cleopatra 2 ,كليوبترا 2,63.0000,0,,,
Cleopatra 3,كليوبترا 3,114.5000,1,,,
Customer Credit System,Customer Credit System,0.0000,1,,,
Diamond bracelet with colour stone 1,انسال ذهب و الماس و حجر الروبي 1,40.0000,1,,,
Diamond bracelet with colour stone 2,انسال ذهب و الماس و حجر الزمرد 2,41.0000,1,,,
Diamond bracelet with colour stone 3,انسال ذهب و الماس و حجر الروبي 3,45.0000,1,,,
Diamond bracelet with colour stone 4,انسال ذهب و الماس و حجر الزفير 4,40.0000,1,,,
Diamond bracelet with colour stone 5,انسال ذهب و الماس و حجر  الكوارتز 5,40.0000,1,,,
Diamond bracelet with colour stone 6,انسال ذهب و الماس و حجر التوباز 6,40.0000,1,,,
Diamond bracelet with colour stone 6,انسال ذهب و الماس و حجر التوباز  6,40.0000,1,,,
Diamond bracelet with colour stone 7,انسال ذهب و الماس و حجر الزمرد 7,45.0000,1,,,
Diamond bracelet with colour stone 7,انسال ذهب و الماس و حجر زمرد 7,45.0000,1,,,
Disney Daisy Duck 2 gram BTC Coin 24 Karat Purity 999.9,ديزني ديزي داك 2 جرام عملة بي تي سي عيار 24 نقاوة 999.9,15.0000,10,,,
Disney Donald Duck 2 gram BTC Coin 24 Karat Purity 999.9,ديزني دونالد داك 2 جرام عملة بي تي سي - عيار 24 نقاوة 999.9,16.0000,10,,,
Disney Scrooge McDuck 2 gram BTC Coin 24 Karat Purity 999.9,Disney Scrooge McDuck 2 gram BTC Coin 24 Karat Purity 999.9,15.0000,1,,,
Earring  5,تراجي سبيكة حجم 1 جرام,45.0000,1,,,
Earring  6,تراجي ربع نيرة ,25.0000,1,,,
